cod,desc,sz_perv,ele_t,vot_t,perc_vot,sk_bianche,sk_nulle,sk_contestate,voti_si,voti_no,perc_si,perc_no,ced,ric,dt_agg,nazione,note
1,Abrogazione del Testo unico delle disposizioni in materia di incandidabilità e di divieto di ricoprire cariche elettive e di Governo conseguenti a sentenze definitive di condanna per delitti non colposi.,2,1420,201,"14,15",1,4,0,104,92,"53,06","46,94",N,N,20220613112627,220,
2,"Limitazione delle misure cautelari: abrogazione dell’ultimo inciso dell’art. 274, comma 1, lett. c), codice di procedura penale, in materia di misure cautelari e, segnatamente, di esigenze cautelari, nel processo penale.",2,1420,201,"14,15",1,5,0,112,83,"57,44","42,56",N,N,20220613112655,220,
3,Separazione delle funzioni dei magistrati. Abrogazione delle norme in materia di ordinamento giudiziario che consentono il passaggio dalle funzioni giudicanti a quelle requirenti e viceversa nella carriera dei magistrati.,2,1420,201,"14,15",1,6,0,152,42,"78,35","21,65",N,N,20220613112744,220,
4,Partecipazione membri laici alle deliberazioni Consiglio direttivo Corte di cassazione e Consigli giudiziari. Abrogazione norme in materia di composizione Consiglio direttivo Corte di cassazione e Consigli giudiziari e delle competenze dei membri laici.,2,1420,201,"14,15",1,6,0,137,57,"70,62","29,38",N,N,20220613112820,220,
5,Abrogazione di norme in materia di elezioni dei componenti togati del Consiglio superiore della  Magistratura.,2,1420,199,"14,01",1,6,0,135,57,"70,31","29,69",N,N,20220613112923,220,
1,Abrogazione del Testo unico delle disposizioni in materia di incandidabilità e di divieto di ricoprire cariche elettive e di Governo conseguenti a sentenze definitive di condanna per delitti non colposi.,1,493,36,"7,30",0,0,0,20,16,"55,56","44,44",N,N,20220613062608,221,
2,"Limitazione delle misure cautelari: abrogazione dell’ultimo inciso dell’art. 274, comma 1, lett. c), codice di procedura penale, in materia di misure cautelari e, segnatamente, di esigenze cautelari, nel processo penale.",1,493,38,"7,71",0,0,0,23,15,"60,53","39,47",N,N,20220613065621,221,
3,Separazione delle funzioni dei magistrati. Abrogazione delle norme in materia di ordinamento giudiziario che consentono il passaggio dalle funzioni giudicanti a quelle requirenti e viceversa nella carriera dei magistrati.,1,493,37,"7,51",0,0,0,27,10,"72,97","27,03",N,N,20220613065641,221,
4,Partecipazione membri laici alle deliberazioni Consiglio direttivo Corte di cassazione e Consigli giudiziari. Abrogazione norme in materia di composizione Consiglio direttivo Corte di cassazione e Consigli giudiziari e delle competenze dei membri laici.,1,493,36,"7,30",0,0,0,28,8,"77,78","22,22",N,N,20220613065659,221,
5,Abrogazione di norme in materia di elezioni dei componenti togati del Consiglio superiore della  Magistratura.,1,493,36,"7,30",0,0,0,24,12,"66,67","33,33",N,N,20220613065720,221,
