st,t_ele,t_ref,f_elet,dt_ele,l_terr,area,cod_rip,desc_rip,cod_naz,desc_naz,sz_tot,nazione
ESERCIZIO,Referendum,ABROGATIVO,SCRUTINI,20220612000000,NAZIONE,E,1,EUROPA,220,ALBANIA,2,220
ESERCIZIO,Referendum,ABROGATIVO,SCRUTINI,20220612000000,NAZIONE,E,1,EUROPA,221,ANDORRA,1,221
ESERCIZIO,Referendum,ABROGATIVO,SCRUTINI,20220612000000,NAZIONE,E,1,EUROPA,222,AUSTRIA,7,222
ESERCIZIO,Referendum,ABROGATIVO,SCRUTINI,20220612000000,NAZIONE,E,1,EUROPA,223,BELGIO,50,223
ESERCIZIO,Referendum,ABROGATIVO,SCRUTINI,20220612000000,NAZIONE,E,1,EUROPA,224,BULGARIA,1,224
ESERCIZIO,Referendum,ABROGATIVO,SCRUTINI,20220612000000,NAZIONE,E,1,EUROPA,225,REPUBBLICA CECA,1,225
ESERCIZIO,Referendum,ABROGATIVO,SCRUTINI,20220612000000,NAZIONE,E,1,EUROPA,226,STATO CITTA' DEL VATICANO,1,226
ESERCIZIO,Referendum,ABROGATIVO,SCRUTINI,20220612000000,NAZIONE,E,1,EUROPA,227,DANIMARCA,2,227
ESERCIZIO,Referendum,ABROGATIVO,SCRUTINI,20220612000000,NAZIONE,E,1,EUROPA,228,FINLANDIA,1,228
ESERCIZIO,Referendum,ABROGATIVO,SCRUTINI,20220612000000,NAZIONE,E,1,EUROPA,229,FRANCIA,78,229
ESERCIZIO,Referendum,ABROGATIVO,SCRUTINI,20220612000000,NAZIONE,E,1,EUROPA,230,GERMANIA,140,230
ESERCIZIO,Referendum,ABROGATIVO,SCRUTINI,20220612000000,NAZIONE,E,1,EUROPA,231,REGNO UNITO,74,231
ESERCIZIO,Referendum,ABROGATIVO,SCRUTINI,20220612000000,NAZIONE,E,1,EUROPA,232,GRECIA,3,232
ESERCIZIO,Referendum,ABROGATIVO,SCRUTINI,20220612000000,NAZIONE,E,1,EUROPA,233,IRLANDA,4,233
ESERCIZIO,Referendum,ABROGATIVO,SCRUTINI,20220612000000,NAZIONE,E,1,EUROPA,234,ISLANDA,1,234
ESERCIZIO,Referendum,ABROGATIVO,SCRUTINI,20220612000000,NAZIONE,E,1,EUROPA,236,SERBIA,1,236
ESERCIZIO,Referendum,ABROGATIVO,SCRUTINI,20220612000000,NAZIONE,E,1,EUROPA,237,LIECHTENSTEIN,1,237
ESERCIZIO,Referendum,ABROGATIVO,SCRUTINI,20220612000000,NAZIONE,E,1,EUROPA,238,LUSSEMBURGO,6,238
ESERCIZIO,Referendum,ABROGATIVO,SCRUTINI,20220612000000,NAZIONE,E,1,EUROPA,239,MALTA,2,239
ESERCIZIO,Referendum,ABROGATIVO,SCRUTINI,20220612000000,NAZIONE,E,1,EUROPA,240,MONACO,2,240
ESERCIZIO,Referendum,ABROGATIVO,SCRUTINI,20220612000000,NAZIONE,E,1,EUROPA,241,NORVEGIA,2,241
ESERCIZIO,Referendum,ABROGATIVO,SCRUTINI,20220612000000,NAZIONE,E,1,EUROPA,242,PAESI BASSI,11,242
ESERCIZIO,Referendum,ABROGATIVO,SCRUTINI,20220612000000,NAZIONE,E,1,EUROPA,243,POLONIA,2,243
ESERCIZIO,Referendum,ABROGATIVO,SCRUTINI,20220612000000,NAZIONE,E,1,EUROPA,244,PORTOGALLO,3,244
ESERCIZIO,Referendum,ABROGATIVO,SCRUTINI,20220612000000,NAZIONE,E,1,EUROPA,245,ROMANIA,2,245
ESERCIZIO,Referendum,ABROGATIVO,SCRUTINI,20220612000000,NAZIONE,E,1,EUROPA,246,SAN MARINO,3,246
ESERCIZIO,Referendum,ABROGATIVO,SCRUTINI,20220612000000,NAZIONE,E,1,EUROPA,248,SPAGNA,35,248
ESERCIZIO,Referendum,ABROGATIVO,SCRUTINI,20220612000000,NAZIONE,E,1,EUROPA,249,SVEZIA,3,249
ESERCIZIO,Referendum,ABROGATIVO,SCRUTINI,20220612000000,NAZIONE,E,1,EUROPA,250,SVIZZERA,109,250
ESERCIZIO,Referendum,ABROGATIVO,SCRUTINI,20220612000000,NAZIONE,E,1,EUROPA,251,UNGHERIA,1,251
ESERCIZIO,Referendum,ABROGATIVO,SCRUTINI,20220612000000,NAZIONE,E,1,EUROPA,252,FEDERAZIONE RUSSA,2,252
ESERCIZIO,Referendum,ABROGATIVO,SCRUTINI,20220612000000,NAZIONE,E,1,EUROPA,254,LITUANIA,1,254
ESERCIZIO,Referendum,ABROGATIVO,SCRUTINI,20220612000000,NAZIONE,E,1,EUROPA,255,LETTONIA,1,255
ESERCIZIO,Referendum,ABROGATIVO,SCRUTINI,20220612000000,NAZIONE,E,1,EUROPA,256,ESTONIA,1,256
ESERCIZIO,Referendum,ABROGATIVO,SCRUTINI,20220612000000,NAZIONE,E,1,EUROPA,257,BIELORUSSIA,1,257
ESERCIZIO,Referendum,ABROGATIVO,SCRUTINI,20220612000000,NAZIONE,E,1,EUROPA,259,CROAZIA,4,259
ESERCIZIO,Referendum,ABROGATIVO,SCRUTINI,20220612000000,NAZIONE,E,2,AMERICA MERIDIONALE,260,ARGENTINA,158,260
ESERCIZIO,Referendum,ABROGATIVO,SCRUTINI,20220612000000,NAZIONE,E,3,AMERICA SETTENTRIONALE E CENTRALE,261,BAHAMAS,1,261
ESERCIZIO,Referendum,ABROGATIVO,SCRUTINI,20220612000000,NAZIONE,E,2,AMERICA MERIDIONALE,262,BOLIVIA,1,262
ESERCIZIO,Referendum,ABROGATIVO,SCRUTINI,20220612000000,NAZIONE,E,2,AMERICA MERIDIONALE,263,BRASILE,88,263
ESERCIZIO,Referendum,ABROGATIVO,SCRUTINI,20220612000000,NAZIONE,E,3,AMERICA SETTENTRIONALE E CENTRALE,264,CANADA,27,264
ESERCIZIO,Referendum,ABROGATIVO,SCRUTINI,20220612000000,NAZIONE,E,2,AMERICA MERIDIONALE,265,CILE,11,265
ESERCIZIO,Referendum,ABROGATIVO,SCRUTINI,20220612000000,NAZIONE,E,2,AMERICA MERIDIONALE,266,COLOMBIA,4,266
ESERCIZIO,Referendum,ABROGATIVO,SCRUTINI,20220612000000,NAZIONE,E,3,AMERICA SETTENTRIONALE E CENTRALE,267,COSTA RICA,1,267
ESERCIZIO,Referendum,ABROGATIVO,SCRUTINI,20220612000000,NAZIONE,E,3,AMERICA SETTENTRIONALE E CENTRALE,268,CUBA,1,268
ESERCIZIO,Referendum,ABROGATIVO,SCRUTINI,20220612000000,NAZIONE,E,3,AMERICA SETTENTRIONALE E CENTRALE,269,REPUBBLICA DOMINICANA,2,269
ESERCIZIO,Referendum,ABROGATIVO,SCRUTINI,20220612000000,NAZIONE,E,3,AMERICA SETTENTRIONALE E CENTRALE,270,EL SALVADOR,1,270
ESERCIZIO,Referendum,ABROGATIVO,SCRUTINI,20220612000000,NAZIONE,E,2,AMERICA MERIDIONALE,271,ECUADOR,4,271
